symbol1,symbol2
SLC7A9,DDX39B
SLC7A9,HIPK2
SLC7A9,HNRNPLL
SLC7A9,THOC5
SLC7A9,ALYREF
SLC7A9,BCLAF1
SLC7A9,PIAS2
RTF2,ABL1
RTF2,LARS1
RTF2,DDX17
RTF2,TRMT1
RB1CC1,TRAF2
RB1CC1,LONP2
RB1CC1,ULK1
RB1CC1,ATG101
RB1CC1,DYRK2
RB1CC1,MAP3K5
RB1CC1,ATG5
RB1CC1,ATG16L1
RB1CC1,ATG13
AKAP11,PRKAR2A
AKAP11,PRKAR2B
AKAP11,PRKACA
AKAP11,GSK3B
AKAP11,PRKACB
AKAP11,PRKAR1A
B4GALT7,RABGGTB
GABARAPL2,ANK1
GABARAPL2,ANK3
GABARAPL2,ANKRD44
GABARAPL2,ATG3
GABARAPL2,WDFY3
GABARAPL2,ATG4D
GABARAPL2,WDFY4
GABARAPL2,ULK1
GABARAPL2,ATG7
GABARAPL2,UBA5
GABARAPL2,ANK2
GABARAPL2,ATG4A
GABARAPL2,TP53INP2
GABARAPL2,OPTN
GABARAPL2,LYST
GABARAPL2,SQSTM1
GABARAPL2,ULK2
GABARAPL2,NSF
GABARAPL2,ATG4B
GABARAPL2,RER1
MYOC,FLRT3
HOXC8,HOXA5
HOXC8,HOXA6
HOXC8,HOXB5
HOXC8,HOXB7
HOXC8,HOXA7
HOXC8,HOXC6
HOXC8,HOXD4
HOXC8,HOXC5
HOXC8,HOXB4
HOXC8,HOXC4
HOXC8,PBX1
HOXC8,HOXB6
MRI1,AARS2
MRI1,KCTD3
MRI1,AARS1
MRI1,MCM6
MRI1,LRRC40
MRI1,MCM8
MRI1,CDC23
MRI1,MCMDC2
BOD1L1,HCFC2
BOD1L1,SETD1A
BOD1L1,EPB41L5
BOD1L1,RBBP5
BOD1L1,NUP50
BOD1L1,WDR5
BOD1L1,SPP1
BOD1L1,MDK
BOD1L1,CXXC1
RTN4R,NGFR
RTN4R,ADGRL2
RTN4R,RTN4
RTN4R,ADGRL1
RTN4R,MAG
RTN4R,ADGRL3
PSMA4,PSMC4
PSMA4,PSMD5
PSMA4,PSMD8
PSMA4,PSMA3
PSMA4,NFKBIA
PSMA4,PSMD7
PSMA4,PSMA2
PSMA4,CHMP5
PSMA4,NFKB1
PSMA4,UBA2
PSMA4,NEDD8
PSMA4,OASL
PSMA4,MRPS9
PSMA4,PSMB7
PSMA4,PSMC1
PSMA4,PSMA6
PSMA4,USP14
PSMA4,PSMD11
PSMA4,PSMB1
PSMA4,WDR11
PSMA4,PSMD3
PSMA4,PSMB6
PSMA4,PSMA5
PSMA4,RPS27A
PSMA4,PSMB4
PSMA4,AMFR
PSMA4,PSME3
PSMA4,ELP6
PSMA4,UBB
PSMA4,U2AF2
PSMA4,PSMD1
PSMA4,PSMD2
PSMA4,PSMC5
PSMA4,CCAR2
PSMA4,PSMA8
PSMA4,PSMG2
PSMA4,XPOT
PSMA4,UBL4B
PSMA4,VPS39
PSMA4,ZFAND4
PSMA4,PSMD12
PSMA4,PSMB10
PSMA4,VCP
PSMA4,PSMB5
PSMA4,UCHL5
PSMA4,PSMD4
PSMA4,BRCC3
PSMA4,UBL4A
PSMA4,PSMA7
PSMA4,PSMB2
PSMA4,PSMB9
PSMA4,PSMB8
PSMA4,UBD
PSMA4,POMP
PSMA4,PSME4
PSMA4,PSMB11
PSMA4,PSMD14
PSMA4,UBA52
PSMA4,ASB10
PSMA4,PSMC2
PSMA4,PSMD13
PSMA4,PSMC6
PSMA4,PSMA1
PSMA4,PSMD6
PSMA4,MYSM1
PSMA4,FAU
PSMA4,UBC
PSMA4,GET3
PSMA4,MPND
PSMA4,KXD1
PSMA4,ADRM1
PSMA4,PSMC3
PSMA4,PSMB3
LCP2,ZC3HAV1
LCP2,PLCG1
LCP2,MAP4K3
LCP2,CBL
LCP2,TXK
LCP2,ZAP70
LCP2,ESCO1
LCP2,SF3B4
LCP2,GRAP
LCP2,UBASH3A
LCP2,CD6
LCP2,LCK
LCP2,GRAP2
LCP2,FYN
LCP2,THEMIS
LCP2,VAV3
LCP2,SRC
LCP2,TNK2
LCP2,GRB2
LCP2,LAT
LCP2,YWHAZ
LCP2,ITK
LCP2,INPP5D
LCP2,LYN
LCP2,MAP4K1
LCP2,VAV1
LCP2,PLCG2
DCN,COL1A1
DCN,EGFR
DCN,COL1A2
DCN,COL14A1
DCN,INSR
DCN,ADGRL2
DCN,ADGRL1
DCN,KLHL17
DCN,COL6A1
DCN,FLNA
DCN,COL5A1
DCN,BOC
DCN,ADGRL3
DCN,PDGFRL
TNFRSF17,TNFSF13B
MRPS10,MRPS35
MRPS10,MRPS34
MRPS10,MRPL28
MRPS10,POLR2C
MRPS10,EIF3E
MRPS10,RPL18A
MRPS10,MRPL32
MRPS10,SEC61B
MRPS10,RPL19
MRPS10,MRPL27
MRPS10,MRPL51
MRPS10,EIF1B
MRPS10,SEC61A1
MRPS10,MRPS7
MRPS10,RPS16
MRPS10,MRPL34
MRPS10,EIF2S3
MRPS10,MRPL4
MRPS10,EIF3G
MRPS10,C12orf65
MRPS10,MRPS25
MRPS10,PTCD3
MRPS10,EEFSEC
MRPS10,EIF2S1
